time,username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date
1485847007,pranavmukul,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:16:26 +0000 2017
1485847024,Alice2003910,RT @radiodisney: Here's Monday's #RDTop3! 1. @zaynmalik &amp; @taylorswift13 #IDontWannaLiveForever 2. TCS #Paris 3. @alessiacara… ,NULL,NULL,NULL,Tue Jan 31 07:16:43 +0000 2017
1485847051,AanchalMagazine,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:17:10 +0000 2017
1485847054,mabhishek40,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:17:13 +0000 2017
1485847119,Shinkichi_RSS2,[ZDoom] TCs and Other Projects • Re: WASTELAND https://t.co/LjUXtkKo50,NULL,NULL,NULL,Tue Jan 31 07:18:17 +0000 2017
1485847130,rahultripathi,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:18:29 +0000 2017
1485847131,miradnan17,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:18:30 +0000 2017
1485847135,sadhanasangli16,"Is this just the beginnig? and it's been barely 10 days since he's taken oath #Trumpwoes @Infosys @TCS 
https://t.co/pmOxtsCXn6",NULL,NULL,NULL,Tue Jan 31 07:18:34 +0000 2017
1485847161,sharnangat,"Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/B8JK1CXpvq",NULL,NULL,NULL,Tue Jan 31 07:19:00 +0000 2017
1485847180,indianpoliti,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:19:19 +0000 2017
