username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
awesummly,"#RelianceJio wreaks havoc on Q3 results of telecom firms
https://t.co/3UypEYrUiF
#business #news https://t.co/bbabNHdBgG",Reliance,NULL,NULL,"2017-03-23 23:59:23",1490526839
Raipur_BSNL,"RT @rakhisbhat: BSNL takes on Reliance Jio and Airtel, new plan to offer 2GB data per day https://t.co/TIWcLf4abU via @bt_india",Reliance,NULL,NULL,"2017-03-23 23:48:18",1490526839
newsaINDIA,"Reliance Jio Prime subscription now to be available for free - https://t.co/HIchFDiz0t https://t.co/H84bBOOx57",Reliance,NULL,NULL,"2017-03-23 23:39:39",1490526839
timesbuzz,"Reliance Jio Prime subscription now to be available for free - https://t.co/H6Vp8OnRQt https://t.co/SbK4YnOOLY",Reliance,NULL,NULL,"2017-03-23 23:30:09",1490526839
KashyapDeepak83,"Reliance Jio Prime subscription now to be available for free - https://t.co/MBt4TKN6nf https://t.co/lqv4hXBKel",Reliance,NULL,NULL,"2017-03-23 23:27:20",1490526839
NewsStoryIndia,"Reliance Jio Prime subscription now to be available for free - https://t.co/IJ12abo8sb: https://t.co/IJ12abo8sb… https://t.co/3E5cGcptqe",Reliance,NULL,NULL,"2017-03-23 23:27:06",1490526839
KirtanChauhan,"#News : Reliance Jio Prime subscription now to be available for free - https://t.co/3vqWzsOVJt https://t.co/bRjK2pqSCT #GoogleNews",Reliance,NULL,NULL,"2017-03-23 23:23:07",1490526839
aleemzaheer,"Reliance Jio Prime subscription now to be available for free - https://t.co/gI13316gBY https://t.co/6icgz5mTjR",Reliance,NULL,NULL,"2017-03-23 23:20:33",1490526839
iVoteForBest,"#ModiMinistry Reliance Jio Prime subscription now to be available for free - https://t.co/vUV9DqKmKD https://t.co/9eH7plfXu2",Reliance,NULL,NULL,"2017-03-23 23:16:09",1490526839
iVoteForBest,"#ModiMinistry Reliance Jio Prime subscription now to be available for free - https://t.co/vUV9DqKmKD https://t.co/rwEASv3yO0",Reliance,NULL,NULL,"2017-03-23 23:16:05",1490526839
india_breaking,"Reliance Jio Prime subscription now to be available for free – https://t.co/4aBddjAY3s https://t.co/Zxp6nY26h6",Reliance,NULL,NULL,"2017-03-23 23:01:00",1490526839
thekenshen,"Vodafone merges with rival to create India's largest phone company https://t.co/7phzGBIwQb #India #Reliance_Jio https://t.co/trpi1jYo8j",Reliance,NULL,NULL,"2017-03-23 22:57:06",1490526839
vishalfast007,"Reliance Jio Prime subscription now to be available for free - https://t.co/kXwOu9eTP3 https://t.co/VVao3JEhvy",Reliance,NULL,NULL,"2017-03-23 22:54:04",1490526839
vishalfast007,"Reliance Jio Prime subscription now to be available for free - https://t.co/kXwOu9eTP3 https://t.co/eV6xLxSn9H",Reliance,NULL,NULL,"2017-03-23 22:53:31",1490526839
vc2008,"Reliance jio net not only slowed down over past two months but also delivered less than 1GB",Reliance,NULL,NULL,"2017-03-23 22:38:16",1490526839
StockflareIN,"#RELCAPITAL: Reliance Capital Limited has lost a star, now a 3 star stock. (https://t.co/GACcfrJxKb)",Reliance,NULL,NULL,"2017-03-23 22:35:31",1490526842
StockflareIN,"#RELCAPITAL: The target price for Reliance Capital Limited of ₹622.6 is now above that latest price of ₹612.1. (https://t.co/GACcfrJxKb)",Reliance,NULL,NULL,"2017-03-23 22:35:31",1490526842
StockflareIN,"#RELINFRA: The target price for Reliance Infrastructure Ltd of ₹578.33 is now above that latest price of ₹571.9. (https://t.co/oO4f0Uigzd)",Reliance,NULL,NULL,"2017-03-23 22:35:23",1490526842
DeMOCKERYcy,"""Reliance Jio Prime subscription now to be available for free - https://t.co/RGbApXlWxN"" https://t.co/AcTdr65N6p",Reliance,NULL,NULL,"2017-03-23 22:10:44",1490526842
_QuickieNews,"Reliance Jio Prime subscription now to be available for free - https://t.co/wUOgGwzA00 https://t.co/mjreIkzjYK",Reliance,NULL,NULL,"2017-03-23 22:08:42",1490526842
RPOWERPOS,"@SushiBrokers finished moving their final location over to RPOWER this week! We're excited to grow with an establis… https://t.co/daFy5V59BP",Reliance,NULL,NULL,"2017-03-23 21:59:33",1490526842
tuubol,"Reliance Jio Prime subscription now to be available for free - https://t.co/ml8QwXNKCy https://t.co/FZB5wzIXp2 #IndiaNews",Reliance,NULL,NULL,"2017-03-23 21:57:10",1490526842
