username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
Saul_Brown1,"Reliance Jio 4G Download Speed, Redmi Note 4 at Rs. 1 &amp; More: 360 Daily https://t.co/WYu7Oak0Cr https://t.co/XayrLRsKIL",Reliance,NULL,NULL,"2017-04-03 23:59:08",1491409237
orbitcollection,"Reliance Jio Prime offer powers Reliance Industries shares to new 9-year high https://t.co/RmfsKditgw",Reliance,NULL,NULL,"2017-04-03 23:58:45",1491409237
mediat_biz,"Reliance Jio Prime offer powers Reliance Industries shares to new 9-year high - Financial Express… https://t.co/5rn3XaBd7i business Israel",Reliance,NULL,NULL,"2017-04-03 23:53:32",1491409237
zyiteblog,"Reliance Jio Prime offer powers Reliance Industries shares to new 9-year high https://t.co/fMZZWszVw6",Reliance,NULL,NULL,"2017-04-03 23:45:36",1491409237
DeirdreS,"RT @OpenNetSummit: Reliance Jio Joins Open Network Automation Platform (ONAP) Project: https://t.co/8uod6nLz0P #ONS2017",Reliance,NULL,NULL,"2017-04-03 23:44:45",1491409237
NTKRNow,"Reliance Jio 4G Download Speed, Redmi Note 4 at Rs. 1 &amp; More: 360 Daily https://t.co/tJ3FiVlzrC",Reliance,NULL,NULL,"2017-04-03 23:35:11",1491409237
NowOrange,"Reliance Jio May Prompt Counter Offers From Other Telcos, Say Analysts - NDTV #News #India #Trending https://t.co/E0Iv8GM0Im",Reliance,NULL,NULL,"2017-04-03 23:33:31",1491409237
newseleven_in,"Reliance Jio Summer Surprise Offer: Details to Know Before Jio Prime Last Date https://t.co/SpueuKNppa https://t.co/wi8BLTKMM2",Reliance,NULL,NULL,"2017-04-03 23:32:22",1491409237
EventsLF,"Reliance Jio Joins Open Network Automation Platform (ONAP) Project: https://t.co/PU3cgxA6SH #ONS2017",Reliance,NULL,NULL,"2017-04-03 23:30:01",1491409237
OpenNetSummit,"Reliance Jio Joins Open Network Automation Platform (ONAP) Project: https://t.co/8uod6nLz0P #ONS2017",Reliance,NULL,NULL,"2017-04-03 23:30:01",1491409237
PricingData,"Reliance Jio to start charging for data - Pricing Data Plans https://t.co/teaQSSrNWu",Reliance,NULL,NULL,"2017-04-03 23:14:03",1491409237
sorxiomara356,"It doesn't matter if the glals is half empty or half full. There is clearly rcom for more vodka.",Reliance,NULL,NULL,"2017-04-03 23:12:00",1491409237
DeSoccerGuy,"RT @sanjaybafna: According to the Latest TRAI Speedtest Report (Feb 2017) 
Reliance #Jio is ""Fastest Network"" Not  Airtel !!
Jio - 15Mbps
A…",Reliance,NULL,NULL,"2017-04-03 23:09:11",1491409237
ikunalmehta,"RT @CNNnews18: The speed of #Jio was almost double of its nearest rivals Idea Cellular (8.33 mbps) and Airtel (7.66 mbps). https://t.co/b7s…",Reliance,NULL,NULL,"2017-04-03 23:09:04",1491409237
VIPortalINC,"Is Reliance Jio struggling with revenue generation? – Livemint https://t.co/tt7nHQ603n https://t.co/FfJENLD2A1",Reliance,NULL,NULL,"2017-04-03 23:00:17",1491409239
JohnReedz,"Reliance Jio's new pricing will continue to bleed industry: COAI https://t.co/pkSZDuynW2 #Industries (via @IBNMoney_com #India)",Reliance,NULL,NULL,"2017-04-03 23:00:16",1491409239
IBNMoney_com,"Reliance Jio's new pricing will continue to bleed industry: COAI https://t.co/yga1EyYADm #Industries (via @IBNMoney_com #India)",Reliance,NULL,NULL,"2017-04-03 23:00:13",1491409239
tsurueda994,"It doesn't matter if the glals is half empty or half full. There is clearly rcom for more vjdka.",Reliance,NULL,NULL,"2017-04-03 22:35:43",1491409239
