username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
mukulprasad,"Only beggers are takers of free stuff. And they dont pay
https://t.co/eHwhLk3ekh via @FinancialExpress",Reliance,NULL,NULL,"2017-03-28 23:48:34",1490809075
mohsinnow,"Reliance Jio receives poor response, says report; only 13 percent customers sign up for Prime membership
https://t.co/ka8zegeBMV
@zaindon",Reliance,NULL,NULL,"2017-03-28 23:33:49",1490809075
ZyiteGadgets,"Post-launch of Reliance Jio, Truecaller logs 50% jump in user base, CEO Alan Mamedi says ‘Will turn profitable ... https://t.co/hG98LZhXuB",Reliance,NULL,NULL,"2017-03-28 23:00:43",1490809075
anupnjanu,"RT @FinancialXpress: #RelianceJio receives poor response, says report; only 13 percent customers sign up for #JioPrime membership
https://t…",Reliance,NULL,NULL,"2017-03-28 22:33:22",1490809075
viewoutline,"WOW! Good News to all the RELIANCE JIO USERS! News is that Reliance JIO might Extend JIO PRIME membership offer... https://t.co/plSPKTAonH",Reliance,NULL,NULL,"2017-03-28 22:20:31",1490809075
SharjeelSayed,".@reliancejio receives poor response, says report; only 13 percent customers sign up for Prime membership https://t.co/9EC4hAju4d",Reliance,NULL,NULL,"2017-03-28 21:47:29",1490809075
sohilgupta,"How is Ambani going to extract back 1.8 lakh crore spent on Reliance Jio. https://t.co/vEvwI0UDlA",Reliance,NULL,NULL,"2017-03-28 20:56:05",1490809075
beststockbroker,"Ambani's Reliance Industries Fined By India Stock Regulator@offshore stockbroker https://t.co/R97XrmJ68Y",Reliance,NULL,NULL,"2017-03-28 20:41:03",1490809075
HanishKVC,"RT @waglenikhil: Reliance Industries unlawful gains case and what the fraud is all about https://t.co/XQcTi1hrTy",Reliance,NULL,NULL,"2017-03-28 20:14:45",1490809076
thisIZsachin,"@UCBrowser @RajivMakhni i support reliance jio only because they provided me free services for 6 months
Only that matters?
#RajivMakhniOnUC",Reliance,NULL,NULL,"2017-03-28 20:04:46",1490809076
rajanbatra7765,"Vishal, all early morning gap-up can be used in Reliance industries to sell your Long positions or make new shorts....",Reliance,NULL,NULL,"2017-03-28 20:02:22",1490809076
deepti_jethani,"Reliance Jio data speed is slower than the people who still haven't raised their concern over #FinanceBill",Reliance,NULL,NULL,"2017-03-28 19:53:46",1490809076
hygzamkcasalz11,"RT @aseemmanchanda: Reliance Jio announced new tariffs plan will offer 2GB data with Rs149 plan and 28 GB with Rs 303 plan @reliancejio @Ze…",Reliance,NULL,NULL,"2017-03-28 19:49:44",1490809077
sunnyputhran,"@reliancejio @ndtv @TimesNow @MumbaiPolice Simcard fraudulently sold to stranger by Reliance Jio using my Aadhar Card. Identity Theft.",Reliance,NULL,NULL,"2017-03-28 19:36:01",1490809077
