username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
Sagardedhia0076,"Reliance Jio Prime plan last date extended to April 15; launches 'Summer Surprise' offer https://t.co/w7n6Cdq80w via @TechRadarIndia",Reliance,NULL,NULL,"2017-03-31 23:58:01",1491405154
KrishnaPrince53,"Reliance Jio and Rest of the Telecom networks love story explained. https://t.co/fhLOFUaY6x",Reliance,NULL,NULL,"2017-03-31 23:57:58",1491405154
anilsrtepc,"RT @SirJaddeja: Reliance Jio Clocks Over 72 Million Prime Members,Membership Deadline Extended Till April 15. Recharge For Rs.303 Get 3 Mon…",Reliance,NULL,NULL,"2017-03-31 23:50:51",1491405154
SujiVjSatz,"RT @gmram7: Reliance Jio
Prime 
Reliance jio Summer offer https://t.co/L1D0XCkVIX",Reliance,NULL,NULL,"2017-03-31 23:43:08",1491405154
singhnarinder91,"Reliance jio ne april fool bna tha sab nu ??????",Reliance,NULL,NULL,"2017-03-31 23:42:44",1491405157
Rakesh_Kundu_OM,"Jio Prime plan extended till April 15, new  Summer Surprise  offer announced... https://t.co/hEM3pvRxxO",Reliance,NULL,NULL,"2017-03-31 23:41:53",1491405157
sharebossindia,"Reliance Jio Prime membership offer extended till 15 April    .. https://t.co/qTNguUeK1l",Reliance,NULL,NULL,"2017-03-31 23:40:28",1491405157
anishrajponnala,"RT @SirJadeja: Two Minutes Of Silence For Reliance Jio Customers Who Recharged Rs 149 Plan Today. ?

#JioPrime #Jio4G Jio Summer Surprise O…",Reliance,NULL,NULL,"2017-03-31 23:38:46",1491405157
agavande584,"RT @SirJadeja: Two Minutes Of Silence For Reliance Jio Customers Who Recharged Rs 149 Plan Today. ?

#JioPrime #Jio4G Jio Summer Surprise O…",Reliance,NULL,NULL,"2017-03-31 23:36:56",1491405157
chaityanand,"RT @irajvirsingh: CEOs of Airtel , Vodafone and Idea outside Reliance Jio office . #RelianceJio #JioPrime Jio Summer Surprise Offer Rs 303…",Reliance,NULL,NULL,"2017-03-31 23:36:53",1491405157
newsatspeed,"New post (Reliance Jio Prime Plan Last Date Extended, Xiaomi Redmi Note 4 Pre-Orders, ...) has been published on  -… https://t.co/1JpF7SvlRh",Reliance,NULL,NULL,"2017-03-31 23:35:08",1491405157
sharebossindia,"Out of free zone - will Reliance Jio retain base?.. https://t.co/yP59ky9iEb",Reliance,NULL,NULL,"2017-03-31 23:34:32",1491405157
anurag8710,"Reliance Jio extends Prime membership to 15 days; launches 'Summer Surprise' offer | ET Telecom  https://t.co/SSfzuaPm86",Reliance,NULL,NULL,"2017-03-31 23:27:38",1491405157
being_malik,"Reliance Jio Prime Plan Last Date Extended, Xiaomi Redmi Note 4 Pre… https://t.co/5vqkmTn3yb #news #india #topsto",Reliance,NULL,NULL,"2017-03-31 23:26:24",1491405157
soumyadeeghatak,": Reliance Jio has extended the deadline for Jio Prime membership by 15 days to April 15.

The company, whose... https://t.co/RGSJflKdbk",Reliance,NULL,NULL,"2017-03-31 23:26:15",1491405157
VIJAYraghavSING,"RT @VIJAYraghavSING: Reliance Jio Prime membership offer extended, 'Summer Surprise' plan launched
 https://t.co/b4JFJsyVoz",Reliance,NULL,NULL,"2017-03-31 23:24:18",1491405161
SarcasticDaemon,"Be ready Cricket fans, ""JIO IPL Support #MumbaiIndians"" Offer is coming soon.? #IPL2017 Reliance Jio Prime #IPL10 Jio Summer Surprise Offer",Reliance,NULL,NULL,"2017-03-31 23:23:00",1491405161
