username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
sharebossindia,"Reliance Industries falls 2% as SEBI bans co from equity derivatives trading.. https://t.co/86OgKl3D4F",Reliance,NULL,NULL,"2017-03-27 23:54:56",1490808427
meghnabasu2,"RT @Gadgets360: Reliance Jio Prime Deadline, WhatsApp Criticised, BSNL Free Data Offer, and More in Today's #360Daily https://t.co/iMGkbzoi…",Reliance,NULL,NULL,"2017-03-27 23:54:24",1490808427
sharebossindia,"Reliance Jio's grand plan: Capture half the market by 2021.. https://t.co/kinIkjPJX8",Reliance,NULL,NULL,"2017-03-27 23:42:26",1490808427
RiteshKoickel,"RT @ananyasaikia4: Modi Govt is helping following garibs by demonetization-
GA- Gautam Adani
RI- Reliance Industries
B- Baba Ramdev 
#DeMon…",Reliance,NULL,NULL,"2017-03-27 23:22:26",1490808427
IamDharmeshp,"'Reliance Jio' - New Video.. Coming Today.. Stay Tuned for Updates!!
Ofcourse this video… https://t.co/R5IbKM072B",Reliance,NULL,NULL,"2017-03-27 23:20:43",1490808427
4Gupdate,"Reliance Jio Infocomm taps Nokia, Ciena for optical transport systems for 4G network support - LightWave Online https://t.co/oX8ehdip2u",Reliance,NULL,NULL,"2017-03-27 23:15:03",1490808427
kamrupexpress,"RT @waglenikhil: Reliance Industries unlawful gains case and what the fraud is all about https://t.co/XQcTi1hrTy",Reliance,NULL,NULL,"2017-03-27 23:10:03",1490808427
PerfectedHacks,"Reliance Jio Prime Deadline, WhatsApp Criticised, BSNL Free Data Offer, and More: Your… https://t.co/1mgizv4INv https://t.co/1oSIU0Rv2c",Reliance,NULL,NULL,"2017-03-27 22:58:05",1490808427
vitfokinbw,"RT @AndroidAuth: Reliance Jio launches new subscription plan as it hits 100 million customers https://t.co/enJp5UcLu7 https://t.co/oC27ys78…",Reliance,NULL,NULL,"2017-03-27 22:56:12",1490808427
zafar196718,"RT @waglenikhil: Reliance Industries unlawful gains case and what the fraud is all about https://t.co/XQcTi1hrTy",Reliance,NULL,NULL,"2017-03-27 22:50:28",1490808427
india_links,"File case against Reliance Jio, Velim panchayat told https://t.co/xDh6GqvNjQ",Reliance,NULL,NULL,"2017-03-27 22:35:35",1490808427
EverythingGoa,"File case against Reliance Jio, Velim panchayat told https://t.co/Sl8t7kzpDB",Reliance,NULL,NULL,"2017-03-27 22:32:35",1490808427
