username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
NewsBossIndia,All you need to know about Reliance Jio summer surprise offer.. https://t.co/1H2sEwAbjK,Reliance,NULL,NULL,4/1/2017 23:57,1491408378
wheatgrassstore,Everything You Need to Know About Jio Summer Surprise Offer https://t.co/GMeY87GT72,Reliance,NULL,NULL,4/1/2017 23:47,1491408378
RajputKaran20,I reviewed Reliance Jio 4/5. Earn Rs.40 per review #WriteShareWin https://t.co/e91HpyqjvI via @MouthShut,Reliance,NULL,NULL,4/1/2017 23:47,1491408378
techav4,Apply for Reliance Jio Tower and EARN 50K to 60K - Hindi: https://t.co/ENwpvlzwfw via @YouTube,Reliance,NULL,NULL,4/1/2017 23:43,1491408378
richysantoro,"Reliance Jio extends its Prime plan till April 15, lines up ‘Summer Surprise’ #startup https://t.co/9cnA0pC3W6 https://t.co/imBDhActBv",Reliance,NULL,NULL,4/1/2017 23:34,1491408378
ExpertPoonam,Reliance Jio Mania Sweeps The Nation as 72 Mln Users Convert Into Prime; Jio Summer Surprise Offers 3 More Months Free Service!,Reliance,NULL,NULL,4/1/2017 23:30,1491408378
expresstechie,#TechNews @airtelindia ads with ‘Fastest Network in India’ claim ruled misleading by ASCI https://t.co/SC2oqwCSQl,Reliance,NULL,NULL,4/1/2017 23:30,1491408378
being_malik,Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/DXjzrE4Jno #news #india #topsto,Reliance,NULL,NULL,4/1/2017 23:12,1491408378
ossbss_ami_ucc,"AMI Business Survey: Hurun India Philanthropy list: HCL's Shiv Nadar, Infosys' Kris… https://t.co/NtXMGuUWcp",Reliance,NULL,NULL,4/1/2017 22:57,1491408378
StockflareIN,"#RELIANCE: Reliance Industries Limited current price of ₹1,320.9 is now higher than the target price of ₹1,271.0. (https://t.co/DQLXVppmVI)",Reliance,NULL,NULL,4/1/2017 22:47,1491408378
shahbazrulz,I liked a @YouTube video from @wdtechnodr https://t.co/ugm6v27TOW Reliance Jio Surprise Offer Explained BY | WD techno Dr.,Reliance,NULL,NULL,4/1/2017 22:44,1491408378
ii_newsdesk,#BreakingNews  Reliance Jio signs up 72 million paying customers,Reliance,NULL,NULL,4/1/2017 22:31,1491408379
Avalurian,"Vodafone takes on Reliance Jio: Gives away 24GB free data, here's how to avail https://t.co/A4y4WBKpFR",Reliance,NULL,NULL,4/1/2017 22:29,1491408379
india_breaking,Reliance Jio Summer Surprise Offer: Everything You Need to Know – NDTV https://t.co/jmr1ilbaTw,Reliance,NULL,NULL,4/1/2017 22:23,1491408379
_QuickieNews,Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/RyHYHND0v6,Reliance,NULL,NULL,4/1/2017 22:23,1491408380
tuubol,Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/n3pgQryF0g #IndiaNews,Reliance,NULL,NULL,4/1/2017 22:21,1491408380
vishalfast007,Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/MdqG3gSVq4,Reliance,NULL,NULL,4/1/2017 22:19,1491408380
DeMOCKERYcy,"""Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV"" https://t.co/4yguZa9S2s",Reliance,NULL,NULL,4/1/2017 22:19,1491408380
vishalfast007,Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/3sGRrkvkWy,Reliance,NULL,NULL,4/1/2017 22:18,1491408380
indianews101,TopNews: Reliance Jio Summer Surprise Offer: Everything You Need to Know - NDTV https://t.co/LuWZuV2hl5,Reliance,NULL,NULL,4/1/2017 22:07,1491408380
prtkdesai443,I reviewed Reliance Jio 3/5. Earn Rs.40 per review #WriteShareWin https://t.co/2djVJgjSa7 via @MouthShut,Reliance,NULL,NULL,4/1/2017 22:04,1491408380
srisanzumba,Jio to launch DTH service with JIo Broadband https://t.co/diGaGrt0a9,Reliance,NULL,NULL,4/1/2017 21:58,1491408380
Als0kn0wnAs,"Reliance JIO connections r only to help bjp in elections propaganda through wtsapp, fb nothing else!! #BJPtamperingEVMS",Reliance,NULL,NULL,4/1/2017 21:54,1491408380
Yoursnews1,"Reliance Jio Being Ragged By Rivals: Ambani With the new Reliance Jio launch into the market, it is https://t.co/HhG54ts1K8 #mobile #news",Reliance,NULL,NULL,4/1/2017 21:40,1491408380
ossbss_ami_ucc,"AMI Business Survey: Hurun India Philanthropy list: HCL's Shiv Nadar, Infosys' Kris… https://t.co/yAXkDczMmv",Reliance,NULL,NULL,4/1/2017 21:39,1491408380
mobiletekzone,Reliance Jio has extended the deadline for its Prime membership,Reliance,NULL,NULL,4/1/2017 21:07,1491408381
NetiVaarthalu24,#TeluguNews Free Unlimited Data and Calls | Reliance Jio Prime Membership Offer Extended  https://t.co/bsrqJ40cKl,Reliance,NULL,NULL,4/1/2017 21:05,1491408381
niceguy_back,"RT @AcheLadki: Reliance Jio is like a boyfriend.
Before marriage they give you free gifts bt you need to pay dowry for taking the relations…",Reliance,NULL,NULL,4/1/2017 21:02,1491408381
meghnabasu2,RT @Gadgets360: Everything You Need to Know About Jio Summer Surprise Offer https://t.co/cGpHIy7Gjo,Reliance,NULL,NULL,4/1/2017 20:53,1491408382
JustAniket,[Hindi] FREE JIO for 3 Months.. Reliance Jio has increased prime membership date to 15 April 2017: https://t.co/8wz1B8LCyT via,Reliance,NULL,NULL,4/1/2017 20:48,1491408382
JustAniket,I added a video to a @YouTube playlist https://t.co/8wz1B8LCyT [Hindi] FREE JIO for 3 Months.. Reliance Jio has increased prime,Reliance,NULL,NULL,4/1/2017 20:48,1491408382
broadbandforum,Reliance Jio Prime Membership (Now open till April 15) https://t.co/RmA5ySGeso,Reliance,NULL,NULL,4/1/2017 20:48,1491408382
vivekvc,"TRAI Is Wrong When It Comes to Reliance Jio’s Promotional, Free Data Offers: https://t.co/jSLL4mfxdB",Reliance,NULL,NULL,4/1/2017 20:46,1491408382
G33kFiles,RT @gadgetstouse: A Big Shout Out To Jio For Connecting Millions Of Dads And Moms To The Internet - Gadgets To Use https://t.co/n02jUo6jc4,Reliance,NULL,NULL,4/1/2017 20:38,1491408382
gadgetsnow,"Reliance Jio: Read full text of Mukesh Ambani's letter to users
https://t.co/SKYF3tfrvp https://t.co/9EEgStfH6u",Reliance,NULL,NULL,4/1/2017 20:30,1491408382
imranhasanabvp,RT @imranhasanabvp: Everything You Need to Know About Jio Summer Surprise Offer https://t.co/jleZXMiRlf,Reliance,NULL,NULL,4/1/2017 20:27,1491408382
sstormindia,RT @gadgetstouse: A Big Shout Out To Jio For Connecting Millions Of Dads And Moms To The Internet - Gadgets To Use https://t.co/n02jUo6jc4,Reliance,NULL,NULL,4/1/2017 20:24,1491408382
