username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
512manoj,"Reliance Jio Free Offer till one more month: https://t.co/fOvLfiWpQ2 via @YouTube",Reliance,NULL,NULL,"2017-03-29 23:55:48",1491306205
geeksidd,"RT @sanjaybafna: Till today, 43.5 million Reliance #Jio Subscribers have subscribed for #JioPrime Membership Plan

#Impressive Good Going #…",Reliance,NULL,NULL,"2017-03-29 23:51:10",1491306205
RegTech_FinTech,"RT @news_in: RCom, RJio to sign spectrum sharing and trading deal next week: Post trading, both the… https://t.co/26uz9Yr1EE #til_now #news…",Reliance,NULL,NULL,"2017-03-29 23:41:39",1491306205
Niks_Just4girls,"I liked a @YouTube video https://t.co/ouwqsrPHNy Why Mukesh Ambani Invested 1.5 Lakh Crore in Reliance Jio | Real Intentions REVEALED",Reliance,NULL,NULL,"2017-03-29 23:28:53",1491306205
indianews101,"TopNews: Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/yTXnZkyrdr",Reliance,NULL,NULL,"2017-03-29 23:00:37",1491306205
aleemzaheer,"Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/ErR87AK0CF",Reliance,NULL,NULL,"2017-03-29 23:00:08",1491306205
DeMOCKERYcy,"""Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News"" https://t.co/3jwVlUxVmU",Reliance,NULL,NULL,"2017-03-29 22:58:11",1491306205
vishalfast007,"Will Reliance Jio grow from a secondary option to a primary choice for calls and data? - International Business Ti… https://t.co/xGXrnbBWYo",Reliance,NULL,NULL,"2017-03-29 22:51:05",1491306205
indianews101,"TopNews: Will Reliance Jio grow from a secondary option to a primary choice for calls and data? - International Bu… https://t.co/48z5gFg7Vq",Reliance,NULL,NULL,"2017-03-29 22:50:28",1491306205
_QuickieNews,"Will Reliance Jio grow from a secondary option to a primary choice for calls and data? - International Business Ti… https://t.co/RzDKJu88kv",Reliance,NULL,NULL,"2017-03-29 22:48:21",1491306205
DeMOCKERYcy,"""Will Reliance Jio grow from a secondary option to a primary choice for calls and data? - International Business T… https://t.co/32WUjmsc2c",Reliance,NULL,NULL,"2017-03-29 22:48:21",1491306206
iVoteForBest,"#ModiMinistry Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/C3Rbh4nev0",Reliance,NULL,NULL,"2017-03-29 22:43:30",1491306206
_QuickieNews,"Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/tDwA4nnf10",Reliance,NULL,NULL,"2017-03-29 22:38:14",1491306206
india_breaking,"Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how – Zee News https://t.co/jv4gLh7NBl",Reliance,NULL,NULL,"2017-03-29 22:37:25",1491306206
vishalfast007,"Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/DSEb2V4uZt",Reliance,NULL,NULL,"2017-03-29 22:36:39",1491306206
tuubol,"Reliance Jio Prime Members can enjoy free 120 GB 4G data additionally – Know how - Zee News https://t.co/b361plwoBa #IndiaNews",Reliance,NULL,NULL,"2017-03-29 22:35:40",1491306207
