username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
BenGreenbergNYC,"On March 31, will the party end for Reliance Jio, too? https://t.co/sOJsdSBpIR",Reliance,NULL,NULL,"2017-03-26 23:55:11",1490808244
PremKKMishra,"Reliance Jio Offer Extended To 30 June || Some Conditions Apply

https://t.co/ZDjNXvOuW0

Use My Referral... https://t.co/fPSiZAnVwI",Reliance,NULL,NULL,"2017-03-26 23:04:00",1490808244
digital_howell,"India's Massive Reliance Industries Holding Just Said It Would Build Apps On GE’s Predix - GE Reports https://t.co/5rPcpiJLWU",Reliance,NULL,NULL,"2017-03-26 23:00:42",1490808244
IndianEquityMkt,"Explained: Effect of SEBI ban on Reliance Industries Ltd. (RIL). https://t.co/TcLkPfz6qa",Reliance,NULL,NULL,"2017-03-26 22:59:41",1490808244
incommuniti,"Competition watchdog clears $1.6 bn Brookfield-RCom tower deal | RelianceMobile 
https://t.co/dwBszQklxX via vcc",Reliance,NULL,NULL,"2017-03-26 22:45:17",1490808244
vccircle,"Competition watchdog clears $1.6 bn Brookfield-RCom tower deal | @RelianceMobile 
https://t.co/84LeRcpao1",Reliance,NULL,NULL,"2017-03-26 22:45:14",1490808244
Rdel_10,"RT @HoustonRockets: An #MVP performance by @JHarden13 today. https://t.co/208UKAbd6k",Reliance,NULL,NULL,"2017-03-26 22:32:58",1490808244
Rdel_10,"RT @HoustonRockets: EPIC. #MVP https://t.co/OyI4L6GsO8",Reliance,NULL,NULL,"2017-03-26 22:26:32",1490808244
Adrian_RCOM,"RT @HARDWELL: TODAY IS THE DAY! #Ultra2017",Reliance,NULL,NULL,"2017-03-26 22:13:58",1490808244
Adrian_RCOM,"RT @steveaoki: Raise your hands if you're ready for some ? #ultra2017 https://t.co/JmBvAuCJ8Y",Reliance,NULL,NULL,"2017-03-26 22:13:52",1490808246
Adrian_RCOM,"RT @djsnake: ULTRA. Tonight. Closing main stage. This is going to be another one of those moments. Proud. Grateful. See you tonight.",Reliance,NULL,NULL,"2017-03-26 22:13:09",1490808246
Adrian_RCOM,"RT @Alesso: Miami. You get better every year.... ?? https://t.co/cG0RuyQQOb",Reliance,NULL,NULL,"2017-03-26 22:13:00",1490808247
Adrian_RCOM,"RT @spain: #EasterinSpain
Come and take part in these unique #festivities - and take away memories that will last forever. https://t.co/Quc…",Reliance,NULL,NULL,"2017-03-26 22:12:52",1490808247
Adrian_RCOM,"RT @HARDWELL: I'M SOOOO READY FOR YOU @ULTRA! #UMF2017",Reliance,NULL,NULL,"2017-03-26 22:11:53",1490808247
OnlinePollsIndi,"Do you believe that the SEBI decision debarring Reliance Industries Ltd from the equity derivatives market and imposing",Reliance,NULL,NULL,"2017-03-26 22:05:47",1490808247
MuhtarMayza,"High Speed Reliance Jio Giga Fiber Broadband | Announced Free Welcome Offer read on Video Music Download - https://t.co/BIq51dxtEm",Reliance,NULL,NULL,"2017-03-26 21:27:17",1490808248
deckshutter,"RT @beastoftraal: Day 54: From @livemint, by @tamalbandyo on negative option banking (https://t.co/SBYbLQMYEt). Your stand @HDFC_Bank? http…",Reliance,NULL,NULL,"2017-03-26 20:56:14",1490808248
SparkBStrategy,"Sebi's reliance order: Key dates and numbers: Sebi bars Reliance Industries from equity derivatives market…… https://t.co/HdaB1RV0iP",Reliance,NULL,NULL,"2017-03-26 20:53:13",1490808248
untradurre1988,"RT @ZeeNews: Reliance Jio announces another bumper offer! Get Prime Membership for free – Know how https://t.co/EWmh93qfoa https://t.co/YiP…",Reliance,NULL,NULL,"2017-03-26 20:44:57",1490808248
parthsuba77,"Reliance Jio: What is the inside story behind the delay in launching Jio commercially? by @adityagund https://t.co/YWKUkmhHOL",Reliance,NULL,NULL,"2017-03-26 20:41:10",1490808248
NewsStoryIndia,"Sebi's reliance order: Key dates and numbers: Sebi bars Reliance Industries from equity derivatives market… https://t.co/VUKzXPnBim",Reliance,NULL,NULL,"2017-03-26 20:31:25",1490808248
charka_,"Statsguru: Tough times ahead for telcos - With Reliance Jio unleashing a tariff war, other telecom operators ru... https://t.co/phGwBCvKeo",Reliance,NULL,NULL,"2017-03-26 20:30:59",1490808248
gadgetsnow,"Reliance Jio users, Vodafone CEO has a message for you https://t.co/PRux1Ud28B https://t.co/Vp8ocShbLJ",Reliance,NULL,NULL,"2017-03-26 20:30:01",1490808248
